"","logFC","logCPM","F","PValue"
"A1BG",0.0216964317044555,9.1979627036423,0.0764352053856245,0.783652793970485
"AAAS",0.0882076147735971,9.21518969919423,0.277794603575641,0.600971202308748
"AACS",-0.198630800383616,9.35898540257383,2.00358926087246,0.163819688736059
"AAGAB",0.0175927091126585,9.30772053585979,0.0232262983019319,0.879412425001103
"AAK1",0.0192217364995818,9.27237997424497,0.0194614924328072,0.889913752933067
"AAMP",0.0183896605818922,9.47529495241772,0.0379554095565231,0.84610782014479
"AAR2",0.0507538294786148,9.2713542406733,0.148342909801847,0.701760432432904
"AARS1",0.0246491925520751,9.62975159216228,0.143868980437221,0.705614825078332
"AARS2",-0.116859822486717,9.20272072180743,0.405255357114632,0.528053113651926
"AASDH",0.0191460314748696,9.20525583159512,0.015344270031612,0.902037654802805
"AASDHPPT",-0.237926372494277,9.89102576161238,11.8829486105449,0.000993046501811504
"AASS",0.396418990777754,9.19451724853573,4.47307539031011,0.0409465149405967
"AATF",-0.196443843957086,9.2193263490117,1.40782110411963,0.242100658864644
"AATK",-0.0770129735925474,9.35357347674336,0.612290416465091,0.43687966900566
"ABAT",0.0174426102423253,9.70503513020065,0.0499585060067787,0.823811672427809
"ABCA1",0.392580925431433,9.19643029249824,4.40151883112827,0.042468549511767
"ABCA5",-0.277154699584877,9.21004028784279,2.54163397785333,0.11864518456521
"ABCB1",0.377671845407347,9.19967509889024,4.3194364809643,0.044266547623244
"ABCB10",-0.0379744297530079,9.20457515551599,0.0385891636551051,0.845264361650915
"ABCB7",0.223386561198607,9.19697743840777,1.4522943425549,0.235448301054554
"ABCB8",0.00110025382574817,9.29493120978274,0.000181293669462185,0.989307539733839
"ABCB9",-0.132597826810192,9.24828065319529,0.641706505226458,0.428047707452357
"ABCC1",-0.0796942017017329,9.19640058712604,0.177577189083731,0.675787589076182
"ABCC10",0.0239928473953256,9.24386458199896,0.0300318364166575,0.86318395987346
"ABCC5",0.0439526915896943,9.33937339813323,0.215686654565458,0.643986133879745
"ABCC8",-0.26494067312024,9.23755733058512,3.25715830656835,0.0778837183669446
"ABCD2",0.0535635237545029,9.26335963268255,0.155075771590815,0.695728121297026
"ABCD3",0.0822200933293947,9.39713901741082,0.639342094219169,0.426864058656655
"ABCD4",0.0571753201345906,9.22058844630023,0.130380800078688,0.719856860556383
"ABCE1",-0.0174365247773845,9.20734858944812,0.00656188283920759,0.935841084355161
"ABCF3",-0.135090761340234,9.27383056467049,1.22096211944597,0.274410992853943
"ABCG2",0.545033502539214,9.21704579691469,11.4732758996701,0.00155764127528762
"ABCG4",0.0233738213360296,9.22239743920344,0.043285532069062,0.836188565915602
