"","logFC","logCPM","F","PValue"
"A1BG",-0.183663567335276,9.1979627036423,1.5502495070929,0.220554201018002
"AAAS",-0.00309929091169211,9.21518969919423,0.000204616585822321,0.988656012056904
"AACS",0.205117986293471,9.35898540257383,4.49032978393276,0.0396464275554548
"AAGAB",-0.0068196292768227,9.30772053585979,0.00579455757838022,0.939590667106423
"AAK1",0.197437183872604,9.27237997424497,2.80786731933537,0.103413676447612
"AAMP",0.00550320909143148,9.47529495241772,0.00641416099742816,0.936399794205211
"AAR2",-0.0534029314512764,9.2713542406733,0.259039140632779,0.613023649296351
"AARS1",-0.0710799930119183,9.62975159216228,1.98071119178913,0.163748264960183
"AARS2",-0.105526851007279,9.20272072180743,0.572487919721792,0.45375338945839
"AASDH",0.0793868797042278,9.20525583159512,0.375977896213219,0.543238320385223
"AASDHPPT",0.0535212141616903,9.89102576161238,1.19210799157109,0.278894219554963
"AASS",-0.0292281691940352,9.19451724853573,8.16415597928225e-05,0.992837316776866
"AATF",0.0440017423926853,9.2193263490117,0.153253198980117,0.697428915502675
"AATK",0.0845447941636877,9.35357347674336,1.47865696071826,0.228554870731831
"ABAT",0.0800081824792704,9.70503513020065,1.78415323887394,0.186133877081163
"ABCA1",-0.0976892605881947,9.19643029249824,0.300206116873322,0.586891106307289
"ABCA5",-0.0408883337623711,9.21004028784279,0.0448038020908769,0.833425419171365
"ABCB1",-0.0411927381642656,9.19967509889024,0.0408161010919285,0.840937221940274
"ABCB10",-0.0758083792491182,9.20457515551599,0.296650250397082,0.58902874377708
"ABCB7",-0.109829788606353,9.19697743840777,0.541292458670309,0.466315655057927
"ABCB8",-0.0316521071656886,9.29493120978274,0.129642096947396,0.72022868468333
"ABCB9",0.134189672254756,9.24828065319529,1.27641378717452,0.265610736152764
"ABCC1",-0.00992862139339668,9.19640058712604,0.00275128125354709,0.958436967694908
"ABCC10",0.030205185782523,9.24386458199896,0.0810611062110216,0.777151861240226
"ABCC5",-0.0549928508188396,9.33937339813323,0.569170730866465,0.453467637682852
"ABCC8",0.00358580826514417,9.23755733058512,0.0108783984178281,0.91740043315593
"ABCD2",-0.0285943687209723,9.26335963268255,0.0467580087169728,0.829853091350383
"ABCD3",-0.149481439388237,9.39713901741082,3.29524181384773,0.0740982745172094
"ABCD4",-0.0580408366453944,9.22058844630023,0.179788889324496,0.673729784013389
"ABCE1",0.0533397282297944,9.20734858944812,0.170845883779902,0.681566019445352
"ABCF3",0.0299431532080089,9.27383056467049,0.124769430605419,0.725389049770661
"ABCG2",-0.113302789761083,9.21704579691469,0.559462057926401,0.458701442764412
"ABCG4",0.0411865854392571,9.22239743920344,0.177044505574126,0.676058880645445
"ABHD10",0.0475827921627737,9.31184470626056,0.330315097444004,0.567735093460447
"ABHD12",0.0925381644412015,9.53234457101467,2.12571630969047,0.149369874672097
"ABHD16A",-0.010418017088898,9.43079426190535,0.0157553338865533,0.900490729434763
"ABHD3",-0.00880512997190694,9.19253634161681,0.000934421983207507,0.975772413047067
"ABHD5",-0.0244706533451478,9.27031063243868,0.0230616495701913,0.880200762836247
"ABHD6",0.0227492554584604,9.29759143573654,0.0981798624468031,0.755243854684526
"ABHD8",-0.0927254081278644,9.4555884351695,1.2625975288243,0.265583190616505
"ABI1",-0.0711156035303201,9.44923825036446,0.783159073539059,0.379547390781583
"ABI2",0.00781413949679685,10.0182862715437,0.0348745469866897,0.852464852940111
"ABI3BP",0.378641694713513,9.21446592729489,8.88206491287381,0.00481784158266162
"ABL1",-0.0713361267009977,9.26596511702191,0.411383416869794,0.524235996673864
"ABLIM3",-0.0104800069168768,9.33463219070197,0.00626280123056236,0.937340514555509
"ABRACL",0.147540098585102,9.26432948036621,2.20851346816703,0.143609389301289
"ABRAXAS2",0.0203051907369544,9.24539764902599,0.0387598745155464,0.844790652983333
"ABT1",-0.078178602986575,9.20197480769814,0.277246500746292,0.601453920075968
"ABTB1",-0.0227015544704765,9.33483235532887,0.0633061874071592,0.802194815050511
"ACAA1",-0.0920734785701573,9.33158337116334,1.16201466043385,0.28540041420208
"ACAA2",-0.109498419688449,9.2418549326082,0.856800486429539,0.359532108036633
"ACACA",-0.0425358550090935,9.41667025799338,0.281065522388911,0.597747542053992
"ACAD11",-0.0495661199552602,9.19000920682746,0.0996626887998957,0.753958544327928
