"","logFC","logCPM","F","PValue"
"A1BG",-0.0107951148233379,9.15436934530611,0.0615555928019991,0.805158420833485
"AAAS",-0.104422038275609,9.17493386433182,1.22718126074008,0.273305977936427
"AACS",0.191693364852333,9.32404718132661,4.86361529091901,0.0333472869700199
"AAGAB",-0.0397473832276985,9.26902222798405,0.377933567479649,0.540726656099079
"AAK1",-0.00701476486160373,9.22950998271924,0.00382257297177055,0.951065268757804
"AAMP",0.024512496325964,9.44087187602712,0.229579279494795,0.633080317672229
"AAR2",-0.0417536856106236,9.23085329902457,0.291850975495547,0.591014610851212
"AARD",-0.020184382379619,9.14488614030126,0.0118795715271009,0.913694949251744
"AARS1",-0.0337525300996944,9.59481762211831,0.798166669149857,0.374181502526446
"AARS2",-0.0267786284595062,9.16213152011353,0.050601097017544,0.822989008268699
"AASDH",0.0156554188229613,9.16358740577249,0.0337718790132759,0.854973158269607
"AASDHPPT",0.0382657125299277,9.8654130664025,1.14606472594483,0.287644162827031
"AASS",-0.152433517939253,9.15559484560744,1.63480848103241,0.207416926380833
"AATF",0.0541066730006638,9.17744392226714,0.402349750415815,0.528766115997557
"AATK",0.151133126806905,9.31380388135987,8.5976119273062,0.00443598392770145
"ABAT",0.153152478723742,9.67737837607404,11.4727171603357,0.00111126977276399
"ABCA1",-0.131323561574553,9.15501860755777,1.13297736949549,0.292671536205851
"ABCA5",0.00745819634548125,9.16880007025143,0.0411186560395429,0.840157871404493
"ABCB1",-0.0789206306044491,9.15820349644678,0.413992135723047,0.523096079112496
"ABCB10",0.0190380230665589,9.16402141646216,0.0394168537593911,0.84347006366517
"ABCB7",-0.0573878422584633,9.15692234027275,0.254784828171917,0.616110649251764
"ABCB8",0.109318990025095,9.25980088645536,3.11487495285869,0.0821950187599835
"ABCB9",0.0716312953213246,9.20942470031098,0.693033078858884,0.409337826999566
"ABCC1",-0.029471517065527,9.15604333669874,0.0703668948843866,0.791978808443153
"ABCC10",0.00282120576854143,9.20392300859527,0.00285348052839573,0.957591723314433
"ABCC5",0.0236466416266879,9.29594335830824,0.188551429472178,0.665377710525918
"ABCC8",0.00660487301408697,9.19751999850476,0.0351662268565877,0.851953503723528
"ABCC9",0.0138300523338751,9.14880275866954,0.0394525185373057,0.843443164000548
"ABCD2",-0.0926130301707062,9.22225344028864,0.787345208344776,0.382661109919048
"ABCD3",-0.0367808694739756,9.3609665271529,0.353562834279452,0.553781603605325
"ABCD4",0.00132906546868601,9.17974011738975,0.0077142785567773,0.93036036549093
"ABCE1",-0.051174041113263,9.16694923996893,0.249181855898746,0.619929483418525
"ABCF3",0.127501644257436,9.23440650577896,3.98827113662137,0.050242290614335
"ABCG2",-0.0993633121628807,9.17447596303162,0.721262624212469,0.399828983073397
"ABCG4",0.043863579049723,9.1831901004506,0.337815461036459,0.563651557289687
"ABHD10",0.141207855040575,9.27182290556751,5.11445876370552,0.0268501487532535
"ABHD12",0.0793602362051118,9.50038523317285,2.48910347656461,0.118399639886481
"ABHD16A",0.0451473773765062,9.39357806873782,0.798759127504203,0.374098442306995
"ABHD3",-0.0812450483378005,9.15245384258423,0.464844580002067,0.498800104884865
"ABHD4",-0.0787504120865158,9.14885557144852,0.39258295718341,0.534089088689677
"ABHD5",-0.109609652690453,9.23020399389731,1.49791096334881,0.227467618733326
"ABHD6",0.0107651621458407,9.26685085795308,0.0652297653468913,0.799195030848628
"ABHD8",0.100477748104581,9.41996277980081,2.10165690133994,0.153709128009632
"ABI1",-0.0115001978858399,9.40854669727554,0.0390751365315771,0.843781587558112
"ABI2",-0.004702488672658,9.97026243210637,0.0216597143349217,0.883388861236611
"ABI3BP",-0.119133077035249,9.17562273376515,0.93597532791949,0.337999399675957
"ABITRAM",0.0590220160776203,9.1452910138437,0.381810888736578,0.539760841878132
"ABL1",-0.0832024631540108,9.22748192555146,1.10697533715854,0.296935210993168
"ABLIM3",0.0393541846794469,9.30256393075622,0.266654991879834,0.607943475384243
"ABRACL",0.0768419713330618,9.2287069955866,1.28960402945568,0.260571639561751
"ABRAXAS2",-0.0737378276578764,9.20578938154341,0.858679700355844,0.358101381734855
"ABT1",0.0550534394390074,9.16084661073973,0.339405411204148,0.562948592323795
"ABTB1",-0.0593850425341002,9.29218133284583,0.867695424030437,0.354642013701721
"ACAA1",-0.0309836255688027,9.29453400644312,0.248341356192483,0.619737546896884
