"","logFC","logCPM","F","PValue","FDR"
"HMGN1",-0.314227759013161,5.99301968380787,6.44564927972287,0.0115005366747701,0.0189280126775682
"NRN1L",1.74725835534572,1.69789352884307,6.48892138033882,0.0115118117336976,0.0189441587480243
"DALRD3",0.445050673792779,4.39295026183471,6.43441101608747,0.0115125600242083,0.0189441587480243
"ACOT13",0.422728626897755,4.48336744492179,6.43578925490903,0.0115161454484111,0.0189482373932531
"PUS3",0.842147171048305,2.7472304720399,6.42695155289217,0.011537871400447,0.018982160136042
"ZSWIM7",-0.358929905080704,5.49164290234692,6.43744347736799,0.0115400572953948,0.0189839320550743
"CCDC88B",-0.907341672582268,3.40612385997284,6.422984838943,0.0115758695441448,0.0190410152378707
"ARL5C",-1.89574396388618,2.75923494367786,6.42206470989127,0.0115826183874625,0.0190502859826456
"ZNF687",0.642431550052778,3.24433534729464,6.4016504311565,0.011702236283723,0.0192451762898499
"B2M",0.391283949638907,7.682300748435,6.43202947140713,0.0117101841830344,0.0192563973886801
"DMRT1",-1.37600453220933,3.10658107776999,6.40393099425093,0.0117128825748983,0.0192589847946849
"SKA2",-0.360121508421694,5.37251346207349,6.4063041491536,0.0117378328477406,0.0192981559928281
"TBX6",-2.11960362821778,2.17338202813769,6.39844482430159,0.0117470475870727,0.0193114513818595
"SUV420H2",-0.593193754640502,4.14417633152997,6.39846858834476,0.0117503750135478,0.0193150667529465
"OLR1",0.816387701104437,3.67676604386986,6.39182638199973,0.0117813231296454,0.0193640794911222
"DRG1",0.294602057831145,5.68579593497253,6.39882199978678,0.0117936908108176,0.0193825464799076
"NME3",0.340664666900043,5.94521425042117,6.40609040423062,0.0117962299086961,0.0193844798595742
"ZNF74",-0.718958687267883,3.85154045647851,6.38877472703451,0.0117971317556603,0.0193844798595742
"DAZAP1",-0.348985027831134,5.48457771971977,6.39710229158637,0.0118099720590295,0.0194037160893076
"CACTIN",0.624841785654675,3.31610112009399,6.38268512089072,0.0118195388885707,0.0194175708446724
"MYT1L",-0.237945864841139,9.24782496435969,6.3974006898923,0.0118303428938888,0.0194334552238894
"INSL6",-2.44784365378987,2.08117214963593,6.38701761392155,0.0118340747261735,0.0194377203599818
"CCDC97",-0.682354302638572,3.70643512616635,6.38113333510303,0.0118488797096408,0.0194601708201315
"METTL20",-0.791290231812671,3.42835865171656,6.3791802594362,0.0118527858529211,0.0194641551171086
"PSMA1",-1.51220558659112,2.82745513608453,6.38218985396381,0.0118535795123232,0.0194641551171086
"BNIP2",-0.693651459996443,3.83445201132377,6.37924669287821,0.0118625398467146,0.0194770003045703
"DLAT",0.349597242520943,5.09829224681186,6.38378060444549,0.0118751850306827,0.019495892570511
"PCDH15",-0.431389981914702,9.18859042694831,6.4063999156006,0.0118799758602756,0.0195018876908541
"SELV",-2.07568528589357,2.2553453626164,6.37648383947107,0.0119156197094024,0.0195585243935732
"PXT1",-1.35552662448394,3.08874767217046,6.37376214834884,0.011917999941736,0.0195605559392694
"CIITA",-1.32228180961912,2.93183954106131,6.36365119677405,0.0119371855908691,0.0195901665371625
"PPP1R15B",0.492051892970901,4.08358736604094,6.36954763202082,0.0119397162052148,0.0195924414294333
