"","logFC","logCPM","F","PValue","FDR"
"UACA",4.73671377630575,4.78501478961692,2105.50748394335,2.4379783712605e-172,6.8423261829475e-170
"CD34",6.47506915891666,3.06852558753045,1821.2257779101,6.74573376404774e-172,1.86269293613705e-169
"TIE1",5.82011771636045,3.48979847188315,1807.01200234909,1.41284422533047e-171,3.83934811708851e-169
"PTRF",5.08391449211088,3.85151540101312,1790.07108761273,4.90843954150404e-171,1.31300757735233e-168
"PRKCH",5.20135462989781,5.55276780371278,2674.73803147379,8.17755609748258e-171,2.15384246752156e-168
"CXorf36",5.84528395197898,3.48238887088704,1787.5015680424,1.2887438406872e-170,3.34292341705528e-168
"DCN",5.24077623563818,4.78513916275985,1962.21386487015,6.16329708144909e-168,1.57486038857326e-165
"ICAM2",6.43360819117814,2.92301650558168,1767.59356606053,8.81524609555658e-168,2.21936784052836e-165
"SRGN",5.5663037458784,4.26841339755394,1971.6893580707,1.34501531326832e-166,3.33719741494981e-164
"SLC12A7",5.74364785028374,3.24091031514151,1650.96681106049,2.72168887538719e-165,6.6564733638041e-163
"RAMP2",5.71961321546466,3.33871250398223,1752.50951241278,4.44201068813592e-165,1.07108764761813e-162
"ST8SIA6",5.61314031157608,4.6322820142782,2220.01997245485,1.54126283867197e-164,3.66478052750891e-162
"KLF2",5.61306029027638,3.26657031510893,1582.84180214136,2.15050488622807e-164,5.04337584277048e-162
"VAMP5",5.48725474163996,3.3975012107979,1642.86648030676,8.7380653974312e-164,2.02156323789219e-161
"FN1",4.78682402133407,5.91206471340394,2585.4341614393,2.3779392446315e-162,5.42804264907885e-160
"COLEC12",5.36989163506752,5.4210517394108,2346.88162373118,4.14513707945141e-159,9.33746668423791e-157
"ARHGAP29",4.18978906420205,6.28944632785402,2425.54191638661,4.89445777445278e-159,1.08822229998223e-156
"ROBO4",6.74090040164086,2.72999203946288,1656.50342374733,5.66450542591233e-157,1.24328631912332e-154
"TNS1",4.50288557037348,4.72291782934506,1719.30319061637,2.99962375557448e-155,6.50045046777659e-153
"ERG",4.99687607272694,5.08489963257791,1953.91100914384,8.76175602932983e-155,1.87501579027658e-152
"IFITM2",5.83468833301066,3.23378083224159,1553.0970644028,1.00130330974564e-154,2.11633489664758e-152
"MT2A",5.14456915484258,7.3209080161594,2321.14498227857,1.32558312919117e-154,2.7675589233845e-152
"CDH5",5.81493021509355,3.11679540597758,1535.32588380435,2.30400025564153e-154,4.75234751525096e-152
"ITGA6",4.71479332420509,5.13492409916754,2045.33368797705,3.74444115889627e-154,7.63152769527431e-152
"TM4SF1",6.75632404968805,3.66279347865892,1997.76721804667,2.72482595718804e-153,5.48812004553637e-151
"ACVRL1",6.62077611585215,2.56287310199925,1540.3349377916,3.68476570181655e-153,7.33525451338364e-151
"TNFSF10",6.40098211814553,2.81932406661584,1573.22631814361,4.29000384102681e-152,8.44193859291713e-150
"PARP14",4.94658649310654,4.45149654604646,1578.95763623374,1.05127993285037e-150,2.0452173239089e-148
"THSD4",4.17561384404607,6.24022911281347,2184.21360369496,1.6162828639686e-150,3.10907445293735e-148
"KDR",6.16261464725695,2.77033255625847,1404.36747315348,1.1474145475758e-148,2.18263745049974e-146
"COL6A2",6.00930603691589,3.07995953055013,1422.30553106518,1.75767739928687e-148,3.30675132701002e-146
"RBPMS",4.91569264702492,4.9648641211797,1895.14022014951,7.23725041486987e-148,1.34278817280876e-145
"SLC7A1",3.88228047262623,5.94879901540852,1921.59275314497,7.29435163967375e-148,1.34278817280876e-145
"HEG1",4.36802354196093,5.06833919518848,1761.33017892348,1.04422758177936e-147,1.90182725532582e-145
"LAMA2",4.66124408725586,6.78034957471516,2184.47530206104,1.10004474610705e-147,1.98239642666871e-145
"HMCN1",4.85084329112391,4.03271810658819,1466.61454736664,2.21715795632873e-147,3.95393168878623e-145
"SDPR",7.83933375285552,2.75729805526308,2097.29831139088,4.39600819377007e-147,7.75872786364368e-145
"B2M",4.51602210735749,7.682300748435,2419.92241225868,1.67851552234058e-146,2.93226385127252e-144
"NET1",4.10706811304212,4.46875372622725,1442.32353130472,5.38196725958403e-146,9.30699792768471e-144
"LMO2",4.95920581501551,3.71903720985817,1429.71183872693,3.02170335369036e-145,5.17315614151789e-143
"SP100",4.84143366011035,4.22260137600673,1433.95905333809,3.0648351986477e-145,5.19504738622263e-143
"RNF144B",4.55190882271567,4.84622587558794,1534.18672295927,4.09673109945577e-145,6.8760820022238e-143
"SLC9A3R2",4.33702470654995,4.24768801982569,1398.66305841704,1.03061237969548e-144,1.71301785828996e-142
