"","logFC","logCPM","F","PValue","FDR"
"MTA1",0.775030793246001,5.09687403371417,18.5536739540608,2.08899244210376e-05,9.17014118174777e-05
"PCBD2",0.853536070538918,4.59865006208506,18.5014489498185,2.09524576564488e-05,9.19523391639075e-05
"CCDC8",2.59473296204036,1.84353931824701,18.6028724932592,2.10882104862928e-05,9.25243883970614e-05
"BRAF",-0.367704979388189,8.38377506130663,18.5389704084176,2.12618059846431e-05,9.32621364225184e-05
"WDR76",-3.38217230596496,3.41839129864844,18.4243609645736,2.13291686328606e-05,9.35336493326266e-05
"NUP155",-1.04698585477691,4.92421161686998,18.4505493346247,2.13906971572308e-05,9.3770980706434e-05
"UHRF1BP1L",-0.588638725012946,6.50034271903534,18.5132783543049,2.13942436121105e-05,9.3770980706434e-05
"OSTF1",-0.838479246478344,5.6985952703013,18.4954893186249,2.14292059016543e-05,9.39001804546512e-05
"ZNF623",-1.10535795187147,4.95279586114273,18.4245547713103,2.16219174497118e-05,9.4720375317059e-05
"TP53INP1",1.47562008363349,2.92881907437603,18.3633696774897,2.17090082240274e-05,9.50775699143896e-05
"FAM49A",-0.455905344084508,7.81676505558252,18.4832311333119,2.18083375389412e-05,9.54881684569495e-05
"PXYLP1",-1.08395092378657,5.36989204896674,18.4019363732117,2.18217574433463e-05,9.55224974252338e-05
"LACE1",0.535643795827573,6.22775447262953,18.4431758017943,2.18492714422231e-05,9.56184885201586e-05
"GFOD2",-0.843966196873648,5.39148258919634,18.4266623527254,2.18633929434125e-05,9.56368566046125e-05
"RBM20",-1.94996164480525,4.76509353394658,18.4224429979796,2.18646411653302e-05,9.56368566046125e-05
"SLC2A3",-1.14584573940515,6.15723887138286,18.5426088098076,2.21386357805297e-05,9.681058609519e-05
"SLC2A4",2.68419007364473,1.7332094379823,19.0244855548839,2.22379424690245e-05,9.72200140627424e-05
"TOLLIP",-0.667909964104002,6.90337804053311,18.4635651881356,2.22911210131272e-05,9.74276210734585e-05
"TTL",-0.633643689104467,6.2980217959091,18.4171804583986,2.23870918321766e-05,9.78221062192096e-05
"SLC47A1",-1.00502513576803,5.47997726237505,18.378791267669,2.25221667725601e-05,9.83872148880401e-05
"PPP1R21",-0.501501705175627,7.10158608283566,18.4164722373905,2.25353558390561e-05,9.84197173379185e-05
"HSPA1B",1.0958216536339,6.27280411786346,18.4490762842624,2.25805368332054e-05,9.8591887422718e-05
"HTR2A",-1.07263390581798,6.40116137319202,18.4333794093106,2.2822723116649e-05,9.96239214066881e-05
"KCNQ4",-2.7821415735869,3.71357814889324,18.3170060901017,2.2839392778942e-05,9.96712731010675e-05
"SLC26A3",-0.360760438011899,9.8101991453637,18.3867267817392,2.29381756181234e-05,0.000100076851830345
"SRSF11",-0.397733943466643,8.01462422482477,18.3709169810421,2.31260911740788e-05,0.000100871001503243
"BRMS1L",-0.755747917926553,5.64013274427756,18.3235477710679,2.31591001628987e-05,0.000100989249818855
"ZBTB48",0.919612588744819,4.24267991391884,18.268363599026,2.32862538679654e-05,0.000101517867639309
"ARHGAP18",-1.62291015971328,4.94224542478923,18.2645190678871,2.3404853083686e-05,0.000102008931973703
"KHDRBS1",-0.491945269829617,6.78821673895092,18.3387456645877,2.34870831157681e-05,0.000102341273337223
"FBN2",-2.14765820847419,5.30509263906931,18.3032519436311,2.36520082992009e-05,0.000103033685008224
"UTRN",0.500926246270211,7.66246947017116,18.3544522907546,2.36673436915905e-05,0.00010307426201985
"RNF146",-0.602608369310528,6.29555064997527,18.3001318991266,2.38074514703851e-05,0.000103658079647251
"TMED2",-0.826291232094384,5.59566436645217,18.2643484531363,2.38285707901435e-05,0.000103723654189488
"NT5C3A",-0.628032931144346,6.13788689049784,18.2903428943838,2.38556667709044e-05,0.0001038152046563
"NBAS",-0.417639279107125,7.735374097386,18.2946675766975,2.40044064985208e-05,0.000104435943902078
"PI4K2B-1",1.69852514898214,2.51188405976849,18.1470870467502,2.41213600157325e-05,0.000104918110637535
"NKD1",1.3846251862027,3.68813381199622,18.1293372269538,2.42712679560511e-05,0.000105543334368198
"PRPS2",-1.39072583862573,4.84787908632938,18.1811142824472,2.43970944712181e-05,0.000106063549351766
"CYHR1",0.53493333499734,6.09163397885582,18.2379147413797,2.44402323408646e-05,0.000106224112128866
"TAL1",2.25127120890163,2.39665944625996,18.2214623899215,2.446343843111e-05,0.000106288468003953
"ATPIF1",-0.510147084676605,7.58555740185835,18.2384782083841,2.44674563319847e-05,0.000106288468003953
"ARL6",-0.766390887159428,5.99245484398719,18.181794851918,2.48683605005193e-05,0.000108002620945939
"CSNK1D",0.5154516691562,6.10522303473579,18.2093203418354,2.49977658428899e-05,0.000108537091359441
"HRH1",0.684704235894981,5.82870345992338,18.1712379027673,2.51124907481799e-05,0.000109007566330842
"SLC38A10",0.704936635071264,5.08130946852216,18.1516460381744,2.51944294060796e-05,0.00010933552127556
"TRIB2",0.753735510222495,5.34948563231638,18.1618346140967,2.52582174331507e-05,0.000109584562203634
"TACC2",-0.714363426411804,6.28927036817787,18.148188184268,2.54228752171632e-05,0.00011027099663487
"PAPSS2",-1.42232752258691,5.39212791984886,18.133024386442,2.55323815347631e-05,0.000110697275716544
"NOTUM",1.9668480037415,2.45460505734214,18.0794436155766,2.55340853857846e-05,0.000110697275716544
"NLN",-0.755221107264369,6.17049225033194,18.127800557431,2.56311930156857e-05,0.000111090132766719
"PKD2",-0.482147563122831,7.41268071015283,18.1467093608,2.5643926709662e-05,0.000111117191918353
"TMEM169",-1.53140068479015,4.56886849745103,18.0728941835357,2.56829104690965e-05,0.000111257952234548
"HID1",-0.971213129986878,5.36231805993928,18.0880966555763,2.58139236898505e-05,0.000111797210617314
"TM9SF2",-0.565877628692173,6.3946721800051,18.1421208019829,2.58897437680999e-05,0.00011209722137326
"TEC",-4.92095229944173,3.4784751567162,18.076929400164,2.59316671629341e-05,0.000112250351916418
"EI24",-0.76104037742948,5.89158665511766,18.1155994503618,2.594452691709e-05,0.000112277629125526
"OVOL2",-1.25438509012207,5.05295808264018,18.0433293996375,2.60490030886692e-05,0.000112701271892347
"TMEM30A",-0.671363004949909,7.1186027398777,18.2258494731263,2.61625916927706e-05,0.000113164115659483
"USP14",-0.553134479383555,6.73874778054784,18.1085792641765,2.62714111985782e-05,0.000113606102480338
"ZNF529",-0.599824800093538,6.21698832407187,18.0804711288886,2.64212362080111e-05,0.00011422514239423
"PAIP2",-0.513889830371453,6.80493378568335,18.0847697043775,2.65712549316459e-05,0.000114844707000701
"RNF122",1.76632937899316,2.69342780380027,17.9663710785377,2.66053902622899e-05,0.000114963220921353
"RAB39B",-1.72998652936893,4.25093075634027,18.0013524808913,2.66919276969389e-05,0.000115308050005449
"CEP57",-0.628006029531456,6.50820937604209,18.0500640935536,2.68017282255133e-05,0.00011575317538365
"MKL1",-0.484294148294422,7.64393719455787,18.0692972739699,2.68687083175768e-05,0.00011601318698535
"TMEM33",-0.722572993285437,5.97950575628423,18.0442908128875,2.69160901645975e-05,0.000116170038358288
"ISG15",0.828046880905923,4.97342250477553,18.0437445816241,2.69245773359378e-05,0.000116170038358288
"FMO4",1.66566624687201,2.76613288269261,17.9084849753202,2.69253920680892e-05,0.000116170038358288
"RPE",-0.98789077807626,5.24613582686131,18.0001230214598,2.69888348540196e-05,0.000116414424968711
"C7orf73",0.669572108974301,5.26629987591242,18.0210828703635,2.70308427890694e-05,0.000116566254042536
"ESF1",-0.54752562860728,6.85365519675798,18.0403082101317,2.71649678209633e-05,0.000117115147090126
"VAMP5",1.51303712961083,3.3975012107979,17.9087519857783,2.73545936484456e-05,0.000117902981687157
"AVIL",0.987906444630168,4.44660979133569,17.9531636119593,2.75867053761293e-05,0.00011887349510177
"PLEKHM2",0.539855457949242,5.95340659152471,18.0036797018263,2.76271410392233e-05,0.000119017779212759
