"","logFC","logCPM","F","PValue","FDR"
"C5",0.82749451536762,4.18990043164343,38.3258238996928,1.3249648488101e-09,5.01401375146528e-09
"TMEM243",-1.23746322359485,3.9948056066107,38.1975541046421,1.34077007562202e-09,5.07270357892796e-09
"TP53I11",-1.52317875299156,4.71604103355724,38.4216261705751,1.34910744237508e-09,5.10311962294772e-09
"SSTR1",-1.53244814813364,4.45459484548453,38.2744024095801,1.36306583282976e-09,5.15477955777457e-09
"PLS1",-1.13849872382476,5.12070521180438,38.2958317506829,1.3676413621425e-09,5.17094083919604e-09
"MYO5C",-1.04149461939583,4.99135285891275,38.2657622130786,1.36808171326094e-09,5.17146366328709e-09
"FUZ",0.920565574296304,3.69497003167133,38.1745808677204,1.37062391811157e-09,5.17992968610819e-09
"CSNK1A1",0.507034090696135,6.77238886371764,38.5538859997532,1.3940516274912e-09,5.26730608312719e-09
"WAPAL",0.521323731005836,6.186174075558,38.5190915268228,1.39910778364209e-09,5.28524387818899e-09
"KCNN3",-0.914982936746625,5.68276280277187,38.3837650098031,1.40092860546546e-09,5.28994397836715e-09
"ZNF480",0.954631232426891,3.74163688309827,38.1762773629305,1.40096997651382e-09,5.28994397836715e-09
"C11orf30",0.534153649003144,6.4165105027284,38.4429026095502,1.40490893877657e-09,5.30364741606503e-09
"TCERG1L",0.752660617740724,5.94096005210259,38.50862153355,1.42199565142357e-09,5.3669677143676e-09
"CDON",-0.813285433034413,5.81126526085246,38.1967845756491,1.44316565320361e-09,5.44566805881548e-09
"AOX1",1.5141887866079,2.54144634452897,38.0398870306026,1.44418660693114e-09,5.44831968062168e-09
"ZBTB3",1.22456773768836,2.80379183146755,37.8515774192637,1.45530764180492e-09,5.48906517464203e-09
"EPC1",0.450557879765082,7.56563171916052,38.4403989708604,1.46535136585051e-09,5.52573026065215e-09
"RBBP8",-1.02169356115225,4.93507571663022,38.110592705673,1.4679735218055e-09,5.53439918372829e-09
"CDKL5",-0.508258428167042,7.85737388668246,38.4362978515713,1.47722853185424e-09,5.56806527198253e-09
"BRMS1",0.997106650857806,3.45532677338857,37.843129995793,1.49590937870441e-09,5.63723719203598e-09
"PPP1R2",-0.654543809247816,5.97725319634942,38.2848364138806,1.52614287495728e-09,5.74990449367709e-09
"SMARCAL1",0.607166320089457,5.30773846141124,38.1359325358884,1.527025305817e-09,5.75196330815995e-09
"COL4A3BP",0.444545432173956,7.04973685477853,38.3701492644175,1.53543104985315e-09,5.78235362373206e-09
"HMX1",2.43484807595262,1.98656291867051,38.8247159160253,1.5385796278061e-09,5.79293671168692e-09
"PGM1",-0.861133048671357,5.07903192973221,38.0814712531301,1.55118547230573e-09,5.83911505845955e-09
"SEC22A",0.543642845143898,6.14096915813939,38.1993057046627,1.56296302678769e-09,5.88215586252038e-09
"RGN",0.900317541306853,4.27254956838904,37.8983583667499,1.57847643639108e-09,5.93923441560774e-09
"GPR107",0.510622591469969,6.11421851477936,38.2318563145755,1.59013043174004e-09,5.98176949931652e-09
"SP2",0.804452634358873,3.99715541564311,37.8955699688568,1.59087715369161e-09,5.98326381177513e-09
"CDC14A",-1.30034404216232,5.10136693832425,38.2651523352559,1.5960958449468e-09,6.00157277959351e-09
"GUCA1B",1.32723647916218,2.8284588706105,37.7780624859069,1.60081994136577e-09,6.01801436016293e-09
"C4orf47",-0.867949509173065,5.5906682353698,37.9396561687299,1.60788357835431e-09,6.04324190152048e-09
"ANGPT1",-1.38018942141197,4.84648480435564,38.2649692464465,1.62348827470944e-09,6.10055295500999e-09
"COL5A2",-1.41646121512327,6.39167781400627,38.5215019957109,1.65497975492041e-09,6.21752323990289e-09
"BEX2",-0.685622508732487,7.90418433653199,38.4301836381527,1.68367365772319e-09,6.32393440548946e-09
"STPG1",0.737844370673255,4.69698917603447,37.8137513367634,1.69434777405711e-09,6.36263081637589e-09
"NPNT",-2.09639906932808,4.05203578490835,37.9307125499181,1.72313392489905e-09,6.4693098233052e-09
"ANKS1B",0.4284210679384,10.7249815958336,38.0960335784395,1.74328794940519e-09,6.54354082302497e-09
"RYR1",-0.937903757341421,5.5623248445465,38.0429237681201,1.74893727672284e-09,6.56330692185337e-09
"HPRT1",-0.575023069673504,7.18824394218987,38.0303633358295,1.75156983038396e-09,6.57174567086859e-09
"OSBPL5",0.603861327860064,5.5164554260085,37.862425733983,1.7649478454819e-09,6.62048797428792e-09
"ARHGDIG",-0.806842599015767,6.60696137135013,38.282885835401,1.76832098990266e-09,6.63168791832061e-09
"GTF3C2",0.622718485290663,5.19231073424906,37.8191020962271,1.77007001597387e-09,6.63679340198701e-09
"SLC25A3",-0.608840648082058,6.96968413654046,37.9665691940908,1.80435550699423e-09,6.76386386681438e-09
"FN3K",0.830544807172819,4.31652595981048,37.6331932588926,1.81071992675193e-09,6.78623580253787e-09
"ARSB",0.523116894638312,6.39555954031766,37.8860860789009,1.81732111667454e-09,6.80948512091662e-09
"PRB2",-1.71214032111039,5.00943963868855,37.7103607158533,1.81825865730334e-09,6.81150726762214e-09
"NEK1",0.454290664648771,7.47086547322321,37.9562586362617,1.81973438357218e-09,6.8155442237488e-09
"PRRC1",0.744699675936089,4.46082209474115,37.5914497229398,1.84280600320133e-09,6.90044592624822e-09
"GNL1",-0.684547982636865,5.89138379719724,37.8390363908008,1.8504974451514e-09,6.9277315243805e-09
"PPM1K",-0.543850035557816,7.08817092835265,37.9308837740975,1.85221398167795e-09,6.93264175039932e-09
"PCF11",0.558118035755957,5.70539165348413,37.8153475584185,1.89030151954408e-09,7.07365289936496e-09
"GPR125",-0.980763888373102,5.26149225616074,37.5904570082592,1.90384817371719e-09,7.12278862194891e-09
"ABCD4",0.653994837863483,5.3985205533939,37.6837536173955,1.91927697436899e-09,7.17894293231312e-09
"GPAT2",1.74055412367171,2.24261858285228,37.6339197970722,1.9391605942601e-09,7.25173206066687e-09
"CEMIP",-1.32878213336034,6.13787796034702,38.0122421892282,1.95497378814451e-09,7.30927085674471e-09
"LRRC37A2",0.650077212357478,5.77508184864525,37.5753110780314,1.99787196207108e-09,7.46802794555828e-09
"PSTK",0.680603609116828,5.02940042164481,37.4892828721809,2.00624777991927e-09,7.4976996272032e-09
"CXXC4",0.784250119899764,5.58713004191076,37.7784525506691,2.02572552102514e-09,7.56883913573777e-09
"TTC1",0.528871684265794,6.49519761038752,37.6961484939296,2.02706097494058e-09,7.57217627994388e-09
"HOPX",-0.834630195033691,6.39424768367574,38.0007095995396,2.04680044817348e-09,7.64424600190445e-09
"DENND4A",0.483302016044264,7.93008772058266,37.7280694949869,2.06292385654699e-09,7.70278220808821e-09
"ZNF692",0.683244491630226,5.29284290199263,37.4606852908732,2.09792937618603e-09,7.83178170961727e-09
