,0
ACTA2,0
HEPACAM,0
ID2,0
IFI6,0
MBP,0
MGP,0
NCAM2,0
NID1,0
GFAP,0
NPY,0
RPL12,0
RPL31,0
SLC2A1,0
SPARCL1,0
TTC3,0
TTYH1,0
UBAP2,0
RGMA,0
GAD1,0
MAN1A2,0
FADS2,0
BPTF,0
COL3A1,0
COL1A1,0
FAM171B,1
FOXP1,1
PCP4,1
PLP1,1
PTPRK,1
RGS4,1
CHN1,1
SCD5,1
SERPINI1,1
SLC17A7,1
CAMK2N1,1
SYNPR,1
SYT1,1
ATP1A1,1
ALCAM,1
OPRK1,1
NRN1,1
PCDH9,1
ZBTB18,1
IGFBP2,1
IGSF21,1
CSPG5,1
KHDRBS3,1
KIF21B,1
KLF6,1
VAT1L,1
LPL,1
MAP1B,1
GRM3,1
GNPTAB,1
DCLK1,1
GNAZ,1
NECAB1,1
ETFB,2
TAGLN2,2
FABP7,2
TOX3,2
SYNE1,2
COTL1,2
CCK,2
SCRG1,2
LHX2,2
PRSS12,2
PDE1A,2
EIF1B,2
CSRP2,2
ENC1,2
SCG2,2
