,0
ARFGEF3,4
SDK2,4
RNASET2,4
ZNF672,4
CAPRIN1,4
ADI1,4
AKAP13,4
MASP1,4
TTYH1,4
H2AZ2,4
PPCS,4
IFI27L2,4
TANGO6,4
NOTCH1,4
IGFBP2,4
IMPDH2,4
ING3,4
NKAIN3,4
ITM2A,4
GRM3,4
ITSN1,4
STYX,4
NEURL1,4
KCNQ2,4
MYORG,4
LRATD2,4
LRRC6,4
MRTFB,4
SRCIN1,4
MAGEE1,4
MCFD2,4
JAM2,4
NUDT3,4
HIPK1,4
GMFG,4
CTNND2,4
DCUN1D4,4
PLXDC2,4
DLC1,4
PITPNC1,4
EPB41L1,4
ERC1,4
EZR,4
DUSP22,4
PCGF2,4
FXYD6,4
FXYD1,4
FAM171B,4
SEPTIN8,5
SPP1,5
TSPO,5
SOX4,5
ZFAND3,5
SH3GL3,5
ZNF160,5
TM7SF2,5
STAG1,5
SCRG1,5
STOX2,5
SGMS1,5
TRIM26,5
SLAIN1,5
SLC38A1,5
ZNF579,5
ZNF22,5
TMEM50B,5
TMCC3,5
TMEM263,5
SELPLG,5
SPON1,5
TNKS,5
AATK,5
RRP9,5
CHN2,5
MBP,5
MON1B,5
CHADL,5
MSMO1,5
CFD,5
MAU2,5
NES,5
CERS5,5
CENPF,5
NPEPL1,5
CENPB,5
NUDT12,5
PACC1,5
NKD2,5
COL11A1,5
MAN1A1,5
COL9A1,5
ENPP2,5
FKBP7,5
FYN,5
GAR1,5
GLTP,5
GMCL1,5
GPRC5B,5
GTF2F2,5
ELOVL6,5
HBP1,5
HIRIP3,5
IFNGR1,5
KPNB1,5
LHPP,5
LMF1,5
PAG1,5
PAXBP1,5
ETHE1,5
PCBP4,5
BBS9,5
BAHCC1,5
BOK,5
PBRM1,5
RFFL,5
ARHGAP12,5
RCOR1,5
RASAL2,5
RAB10,5
AMER2,5
PROM1,5
PRKCA,5
PPP4C,5
CASC3,5
POPDC3,5
PCYOX1,5
PNMT,5
PLP1,5
CD81,5
RRAS2,5
PDE4B,5
PPIE,5
PEX1,5
ENC1,6
TMEM35A,6
EIF3F,6
ELMO1,6
ZNF333,6
EPHA3,6
APIP,6
ACBD6,6
ANKRD65,6
ACSL4,6
EEF1G,6
ZNF708,6
EMID1,6
ARID5A,6
EEF1A1,6
CUX1,6
TRIM28,6
ZBTB10,6
XPR1,6
CDH3,6
CDC42EP3,6
ETFB,6
CCBE1,6
CHCHD2,6
CAMK2N2,6
BRAT1,6
COTL1,6
CSMD1,6
ZFPL1,6
CTIF,6
CUX2,6
DAPK1,6
DCTN6,6
DNAJC4,6
DOC2B,6
DUS3L,6
EBF4,6
VGLL4,6
IGDCC3,6
FAM131B,6
NLGN4X,6
SMARCB1,6
NRIP1,6
NUP93,6
OCIAD2,6
PATZ1,6
PGLS,6
PID1,6
PROX1,6
PTOV1,6
SFT2D2,6
PTPN4,6
RERE,6
RFLNB,6
SEM1,6
RFX3,6
RGMB,6
RHOBTB1,6
SDK1,6
RHOU,6
RNF182,6
ROBO1,6
RPL18,6
RPS27A,6
RRN3,6
NEUROG2,6
EXOC6,6
NAIP,6
MICAL3,6
FAM161A,6
FAT3,6
FBXL5,6
FOXN3,6
FOXO3,6
TENT4A,6
HS6ST3,6
TBCCD1,6
RSL24D1,6
IGFBP6,6
ISOC2,6
ITPR1,6
KCND2,6
KCNJ6,6
KCTD3,6
STK32B,6
STK31,6
KREMEN1,6
ST8SIA2,6
LACC1,6
SST,6
LRRC75A,6
MAD2L1BP,6
MAPK8,6
MB21D2,6
ZSWIM6,6
ZYX,6
