,human,chimp,macaque
ADIPOR2,0.2976254713890161,0.8614967713733006,0.769695833642473
ADORA1,5.324058927180514e-09,5.901099272494005e-08,1.0778573097444871e-07
ADPGK,0.07982872975184316,0.22601443981093558,0.5662776887145091
ADPRS,0.007431005830888531,0.4107471619307506,0.1846513782862151
ADSL,0.34001672180851406,0.3089860626720271,0.8250193090172433
ADSS2,0.004247131655758169,0.03304661755644321,0.5462160389147721
AEBP2,0.03958862064830641,0.7341279359992239,0.03929154798968335
AFAP1,0.0028122133400500394,0.01993530366483152,0.14343356677121846
AFAP1L2,0.5966075048120303,0.23119998891222887,0.3807422987572458
AFDN,1.9239844492206314e-05,0.06273227907656945,0.11504394277393677
AFG3L2,0.009889564185324317,0.10595451199986401,0.6812198661760405
AFTPH,0.7927338194462995,0.0038112746034275656,0.11566754247076423
AGA,0.03303348885354814,0.4669742050181849,0.06392601465885021
AGAP2,0.04042629992150203,0.5391479337472094,0.06878788264325325
AGAP3,0.03413390078752105,0.43898250185415866,0.40848086109481496
AGBL5,0.5119777661007865,0.046580484905703726,0.42915981433342265
AGFG1,0.09167760610993357,0.1899451620943723,0.40127907516660827
AGGF1,0.03939947947100047,0.7633400494558171,0.681118780274367
AGPAT1,0.000979737203696101,0.19375021753127136,0.15550208210433297
AGPAT3,0.006554580894493077,0.25724771561453824,0.42007782325757725
AGPAT5,0.1514123808340627,0.23957084325260863,0.0004599866453507288
AGRN,0.00012907264641481242,0.062125560685314184,0.29469862852133405
AGTPBP1,0.02946826533625489,0.09984176308107008,0.1382526904480137
AHCY,0.320934149356611,0.03383550635583658,0.8032502982997793
AHCYL1,0.003002536053155337,0.1745733503221345,0.02318524979716486
AHI1,0.000967972866541036,0.9258678025187967,0.6471470642584645
AHNAK2,0.9276965769974328,0.013741603197891661,0.019516219654795382
AHSA1,0.11436578534196036,0.06159038258848632,0.37897293085562556
AIDA,0.0008345699818949591,0.17194221383166972,6.497552929289659e-05
AIF1L,0.0006788018401764413,0.029986642389556742,0.08822919554163135
AIMP1,0.29718730667383003,0.24480113188808936,0.694841873460988
AIP,0.0142992655394906,0.6240616884144283,0.004528620367830794
AK1,0.7657037389036507,0.0001543763875652052,0.1905960110822324
AK2,0.3305638536993658,0.019432435610061406,0.24648265476113213
AK3,0.033761288289993814,0.030544938313032396,0.41150441820041006
AK5,0.00011567024996551429,0.0009808068426159357,0.003865986777571861
AKAP11,0.2664888331214843,0.15158237444984612,0.6932421324177608
AKAP12,0.07711927221144126,0.06047883183443028,0.0008463550731799079
AKAP17A,0.9516404541592642,0.8335149645003357,0.4233361995516467
AKAP7,0.024464592892610108,2.1877463667583187e-05,0.013242685388795677
AKAP8,0.02426810109173372,0.7931104835798768,0.09706707805790715
AKAP8L,0.42707987872710595,0.5996836740542251,0.48361024076547743
AKAP9,0.08451035356938177,0.004104769551932364,0.11642305987003798
AKIRIN2,0.22312339604657674,0.009232555391130461,0.00018342592086550494
AKR1A1,0.9103448968674215,0.1599129613196321,0.0014463751975270789
AKR1B1,0.5963631851720268,0.3841073516167636,0.5823394400747551
AKR7A2,0.10619331017343554,0.3217858746774137,0.021316149160672853
AKT1,0.15220811762810293,0.005374630054896131,0.014253531113822923
AKT1S1,0.2467502862476709,0.09982126322318036,0.26727587124389574
AKT2,0.0017988506928066463,0.14712351873871515,0.0007668817778087773
AKT3,3.4973576298944505e-05,0.06042143994375411,0.9899688105160591
AKTIP,0.16620380952570643,0.004496499038365881,0.09237634250893025
ALAD,0.10763771794027195,0.05811042706852857,0.01725218601869026
ALAS1,0.9698733038801285,0.0384622734013371,0.02852209592705331
ALCAM,2.885173930648221e-09,0.01820890644301272,0.03776235319680618
ALDH18A1,0.11606566821285293,0.36167645197349396,0.8740727083081165
ALDH1L1,0.009944182161700873,0.17775735622454045,8.861011821174154e-09
ALDH3A2,0.19703978131997077,0.33918589462751514,0.3002561222974595
ALDH4A1,0.4777421012064409,0.051524652147548915,0.09044152470214767
ALDH6A1,0.09364072303506482,0.25669738890255783,0.08286354492016093
ALDH7A1,0.2273939941313344,0.20366924415265025,0.06969310697064987
ALDOC,0.032867762550197376,0.17542754719676742,0.022427134738536504
ALG1,0.25946553586778426,0.06362917546966687,0.10216161485442742
ALG12,0.0185248222317316,0.17097690547525446,0.7178684480919522
ALG13,0.011573410360962447,0.5736029971551246,0.22701599033477182
ALG2,0.3885643085882761,0.9348809043458984,0.06927579535973026
ALG3,0.6204104918969993,0.730083755384955,0.696424360729397
ALG5,0.3266421181419524,0.06052599967551856,0.7773388160581874
ALG6,0.3531801791687913,0.7807188302205024,0.49505752515274015
ALG8,0.9297008515270279,0.12050221430681025,0.6783024575301696
ALKBH5,0.012760729871347255,0.01045322922943283,0.16881865874542093
ALKBH7,0.00042501309492433485,0.24111773173689532,0.32020856245588614
ALYREF,0.40857974325321855,0.3359171712611195,0.36998027801011263
AMD1,0.07677348507990435,0.08002631927225537,0.022547565354887122
AMFR,0.9565243615899829,0.03187859592238618,0.012733807599544794
AMMECR1L,0.11177867997232999,0.8996150996244583,0.04322684348520262
AMN1,0.00029770117855950473,0.02446383173174588,0.028870738728987634
AMOTL2,0.06929586350391469,0.4671622389624015,0.7594707386818159
AMPD2,0.12101893732067978,0.0028884146066447697,0.002856505770048274
AMZ2,0.33374625679950454,0.015952056843174384,0.1391152854846363
ANAPC1,0.24565094294595902,0.2525058449914541,0.556258576900691
ANAPC10,0.004238869980329581,0.7244898150013968,0.15748823081089333
ANAPC11,0.00029845325985514024,0.8754058470948824,0.09523232985639524
ANAPC13,0.8411769081586025,0.7169349697950604,0.16355528845665115
ANAPC16,0.09741305261537413,0.6272891744218813,0.08291082530257177
ANAPC2,0.5264182157663151,0.33755773889260365,0.06304405475823399
ANAPC4,0.07430486437805554,0.10901975901354821,0.6251424572761421
ANAPC5,0.04994869718417595,0.048256226191901466,0.06058580826315941
ANAPC7,0.29317835526106156,0.8569158516154886,0.6017890194265612
ANGEL1,0.044251794618442655,0.11509213731169309,0.14446183947213484
ANK2,0.0022322419288952453,0.00017368317701732592,0.15859263560695322
ANK3,0.9247445884037121,0.6055950125000391,0.07934989613832397
ANKFY1,0.0018921415813439955,0.06156925292142428,0.8361238996089818
ANKIB1,0.013561795404693319,0.23561200875596136,0.05750027413617894
ANKRA2,0.5162608966235067,0.6297650839668685,0.7995110712603373
ANKRD10,0.022828806704682507,0.8323021737417505,0.44530583719384853
ANKRD11,0.3631058686708169,0.4358561480754304,0.12390484898360536
ANKRD12,0.0021856665991400255,0.02430103775014915,0.9214483810760099
ANKRD13C,0.028194362335400885,0.14709703044722702,0.9380038404042588
ANKRD13D,0.10356932336501345,0.07371229093322365,0.4915160224453242
ANKRD17,0.3457628402814914,0.3195649762581621,0.9578263586370118
ANKRD26,0.1200509684486583,0.6187588079624329,0.6805400719056782
ANKRD27,0.00329084678364478,0.8849090284730854,0.23689229206220505
ANKRD29,0.7588485264230413,0.000975552823972513,0.8281000959365055
ANKRD40,0.2594413598525548,0.3055346995395171,0.0067221488639703135
ANKRD44,7.884369565464728e-05,0.22227702974469088,0.13405424940381055
ANKRD46,0.01144030668541591,0.05415201108618194,0.5763225714972615
ANKS3,0.6650556633157729,0.8223169008961578,0.651263074878442
ANKZF1,0.2632735943094642,0.27095692706245994,0.5120817077491892
ANO10,0.5055479410768633,0.875573284996856,0.005469416734091629
ANO4,0.9349446351594941,0.6195457167805737,0.022405665684927356
ANP32A,0.1211232240729639,0.9412464844741013,0.00035195778728738873
ANP32B,0.21494116632491728,0.48785273632382053,0.009970067197851635
ANTKMT,0.05361109297457608,0.9047137809202824,0.7494882700300978
ANXA2,0.06755364347011886,0.029296320292201843,0.0023998396735125296
ANXA5,0.2065940865744916,0.257410045052483,0.11035737216134023
ANXA6,0.0008031999009343882,0.0009131753345160244,0.08635958106908305
ANXA7,0.00010259523414573194,0.48052479099645207,0.487496540419183
AP1G1,0.49791861702161433,0.3356957430687291,0.4170807338588436
AP1G2,0.49223069042953016,0.22648734051078168,0.052405836228596105
AP1M1,0.002549402555189934,0.5684980202787311,0.1629385111770948
AP1S1,0.1648724477132503,0.3670215981806188,0.4597069134663231
AP2A1,0.3379326748139594,0.07875694969472147,0.30785677319347476
AP2A2,0.002487486082538644,0.34781366652071866,0.48567059225747633
AP2B1,0.0007442828146047726,0.13130499331073087,0.12409160733429843
AP2M1,0.2410765959568853,0.1995976813971295,0.25730716646868507
AP2S1,0.47696249516368283,0.010953082087691388,0.28688238129152727
AP3B2,0.3218655874961249,0.5560283446065852,0.09296995361276984
AP3D1,0.18866469746428846,0.795593043221399,0.9527362952064036
AP3M2,0.24431857520472522,0.610225321523755,0.05881586593055283
AP3S1,0.07823935219349457,0.24060082350448272,0.4749891206910588
AP3S2,0.5493841324478992,0.4804326416378085,0.06667684990456595
AP4B1,0.7723414943144841,0.19210899451530816,0.3473101308054706
AP4M1,0.10821474644721599,0.6379022541389371,0.016917458364851604
AP5S1,0.3725645864748835,0.07996317185233211,0.13070767291605992
APBA2,0.08926924193266296,0.05635567947630892,0.050104757930403976
APBB1,0.0055231964121364215,0.3308915582064859,0.00019485926491493615
APBB2,0.01812458847882196,0.08261529328061959,0.25757424149722413
APC,0.00019097773809908703,0.00016243093200691663,0.0008490361043960096
APC2,0.0032328605135283016,0.2966267027549445,0.7799242904136655
APCDD1,0.07852451056763617,0.48717538262670657,0.10586309473453233
APEH,0.0029171818719925433,0.7277943021391474,0.09657150116681142
APEX1,0.00010739279239584123,0.005735700254487849,0.4840779623645065
APH1A,0.5505198378060843,0.7927761043940775,0.045850682154559924
APH1B,0.14338109312710315,0.3746635169316424,0.028459389528600394
API5,0.11778413141849788,0.97336911938285,0.8410839531279947
APIP,0.017176013238730345,0.0469663710874265,0.8833115089910896
APLP2,0.0025148079084134035,0.06858501354620447,0.05214604795210981
APMAP,0.1723264671983428,0.05971210217726428,0.8812234575263477
APOC1,0.006904450279651993,0.16424360465949828,0.00012114797801356243
APOD,0.3211593159456171,0.5492378528143032,0.0160731187326277
APOE,0.041986678780820526,0.36599184200609525,0.06035959580873654
APOO,0.6639372525486339,0.09996449801422243,0.16814452574692113
APP,0.0007033668317984375,0.499457197674536,0.10092625816255596
APPBP2,0.7572785951913689,0.6869524405217126,0.6860692099426806
APPL1,0.16217516955739805,0.1396956509387693,0.192786454048658
APPL2,0.14174047036563664,0.22888449291488047,0.5635251235203922
APTX,0.02267942896175687,0.40953092052054235,0.0831269329139372
AQP11,0.002917223214981777,0.022604799321037577,0.0320497895641371
AQP4,0.07969609926589624,0.47910352032638936,0.03635383905136701
AQR,0.5599955610917409,0.12608866469404675,0.23776093448659968
ARCN1,0.018520692400685466,0.036764606288156434,0.6914133075016855
ARF1,0.13187635401635714,0.32222920209481054,0.1531160481303587
ARF5,0.19897000841679904,0.6402830294775722,0.48379451614252433
ARFGAP1,0.6795517451080864,0.37944427585438734,0.003125461549606962
ARFGAP2,0.002870523369905958,0.28489800330397974,0.36643730299212424
ARFGAP3,0.08762269718431896,0.72300748351937,0.23246252695839031
ARFIP1,0.007062279751269869,0.05978373463494211,0.5969059977274906
ARFIP2,0.919944261119409,0.7718808680385777,0.3423175716108543
ARG2,0.26185155594139153,0.4584860868749623,0.04598128283420727
ARGLU1,0.8180378699746322,0.2719205888905034,0.20099042688080304
ARHGAP1,0.04319585972327485,0.6305845519487487,0.5261214791607252
ARHGAP12,0.0012549965250549105,0.5434685545233683,0.060858582155326996
ARHGAP17,0.04666981325852637,0.804922947454657,0.5351632797541737
ARHGAP21,0.610445502314023,0.33867380009914766,0.3948385056632708
ARHGAP33,0.00539261473742527,0.1006891234327371,0.0886919320734258
ARHGAP5,0.21500261672732912,0.3621060538004037,0.1318266801779353
ARHGDIA,0.17332621958272806,0.49787746410923506,0.3024434380420513
ARHGDIG,0.009289043425615017,0.2692178974414197,0.22469259932774835
ARHGEF1,0.015983578675334,0.21952037347913209,0.11825388144433162
ARHGEF10L,0.9316139646290053,0.24659701060867217,0.20830864776185035
ARHGEF2,4.735891733036206e-05,0.27941015173446093,0.15409948997378778
ARHGEF3,0.12196639135836573,0.5948981423782294,0.030105000134201948
ARHGEF9,0.004975339984789401,0.16977585812222218,0.2997604878053266
ARID1A,0.0464452608942375,0.019654094781658617,0.7704532596994421
ARID4A,0.48689014507787653,0.0002186180119822654,0.14443621392015013
ARID4B,0.41198351789275134,0.12613404395262123,0.6992662088284514
ARID5B,0.3586501648738726,0.0015600817827278032,0.08885698278309001
ARIH1,0.19858845685553578,0.1972192795762576,0.19839591366391973
ARL1,0.0715941523474529,0.1441734576369574,0.07939217340509785
ARL14EP,0.6420143051664444,0.2502937653291225,0.6187730776530239
ARL2,3.389457850716425e-05,0.05606290058900069,0.04446235203482829
ARL2BP,0.889943702554397,0.03454897048479624,0.07015983024817721
ARL3,0.7924472044624677,0.3944934460967306,0.24956612729060576
ARL6,0.04070227082240533,0.16444731778543623,0.00013886007693664958
ARL6IP4,0.42221820253604836,0.30014056542971046,0.12955105093511635
ARL6IP5,0.0031905113447360995,0.017064006800967892,0.000597159212599852
ARL6IP6,0.4483531586493874,0.36194682103710735,0.8804960150965717
ARL8A,0.06049405324026187,0.922278349600699,0.5912167392630114
ARL8B,0.015778788037473474,0.23676117283093598,0.15338826217628956
ARMC1,0.00401389992147762,0.9373226164812417,0.09621422021539376
ARMC10,0.2678765736901215,0.8510181428086669,0.820969713018338
ARMC5,0.11855519653377894,0.4352573448116379,0.47862929039838453
ARMC7,0.9653297662241925,0.19080275688827564,0.6116630252697061
ARMC8,0.2461008003373211,0.1773835193981015,0.11217776634904922
ARMCX2,0.015744603370190957,0.48255368099582474,0.17176470028215124
ARMH3,0.17244061016355933,0.7495318911646662,0.4676017713278936
ARMT1,0.07525751524357675,0.3890898405612832,0.7825129140099463
ARNT,0.6020397552440139,0.9527564112378931,0.21020659751560766
ARNT2,0.009614960895132654,0.3932076346987075,0.01537575995179759
ARNTL,0.003000852087181877,0.04708629052769355,0.04946873191567758
ARPC2,0.025467271721303572,0.24404760782490909,0.0341517784253458
ARPC3,0.804570170805265,0.16182474266078925,0.49384057988718477
ARPC5L,0.037958311677646205,0.8167565284752345,0.6673565035273051
ARPP19,0.24827006740013466,0.9780830197654239,4.5405881572457554e-05
ARPP21,9.711213309557711e-06,0.5334312101424323,0.20381751376918464
ARRB2,0.18072235784052304,0.7438364117930617,0.052016689930864286
ARRDC1,0.8141984817535809,0.08104188742923164,0.09071207735716615
ARRDC2,0.403022870599151,0.03938445897297363,0.10563519095937773
ARRDC3,0.19426023565257733,0.014178169894858032,0.20121766678270256
ARV1,0.16887587192166217,0.2670928458872414,0.23469777635313435
ARVCF,0.11007322491658171,0.6953508528574961,0.00027831077487169576
ASAH1,0.0001337395455873742,0.16520308861757493,0.08547290668631571
ASAP2,0.4514594485542016,0.2128421618678973,0.09043427301338432
ASB3,1.6854725939010495e-05,6.31802008024584e-05,0.13638117728723184
ASB6,0.2229110588096561,0.46669852797511746,0.34823986343796476
ASB8,0.26693043443290243,0.3609946280703385,0.42933455023615064
ASCC1,0.6132831178446143,0.14076847367080836,0.3821795144125449
ASCC2,0.7764435503267333,0.5138972283711278,0.07569881829323494
ASCC3,0.09387945535292187,0.22357649545174765,0.009824607109201187
ASF1A,0.22822054151546392,0.49556797944685116,0.1120409285504472
ASH1L,0.061442102675110556,0.34227003514851945,0.5575902386201471
ASIC1,0.11874320082082368,0.12714395879349363,0.03334556796295952
ASIC4,0.002484951706056968,0.08419249701151581,0.0021040238809210956
ASNSD1,0.7755139759858242,0.7627289355749697,0.5164652431904764
ASPH,0.23056279844855848,0.41744484730924136,0.006537873028120048
ASPHD1,0.022958869447798885,0.6551870498658718,0.03284724550124085
ASPHD2,0.001586228586181515,0.08483509170154757,0.13212392693722863
ASPSCR1,0.7298775744218764,0.9249110579467436,0.14641336667291155
ASRGL1,0.035032083993377316,0.8163875311864162,0.6515777329703873
ATAD1,1.0416452693001564e-05,0.38122595131334347,0.04953727639174092
ATAT1,0.006322775134152581,0.2509952634241662,0.006037662210171696
ATCAY,0.0007927945824737058,0.014052219855705948,0.023226093768565215
ATF1,0.8194240248044529,0.32036714741086464,0.26403749793217246
ATF4,0.1500122826463282,0.36241295947300234,0.0011097339738846983
ATF7IP,0.9158861777160354,0.059253607388277445,0.0004085780388651056
ATG101,0.12009229259353267,0.32309086581433744,0.6091852668111601
ATG13,0.4723144281245739,0.9915497837933575,0.0015702241273098051
ATG14,0.876270847492637,0.8623689863973644,0.009606450296955454
ATG16L1,0.27681873267371987,0.0029149054161851677,0.009191713795222036
ATG16L2,0.4101570484166548,0.9024886306394672,0.0783038707782943
ATG2A,0.9080185233389781,0.16198791118814332,0.04911974064759719
ATG3,0.2088239756986963,0.2089005748513867,0.6418973695626797
ATG4B,0.2629426842001001,0.23556408195588802,0.4009451877153888
ATG4C,0.8307983537920691,0.18967994566338994,0.15140228839368206
ATG4D,0.02609001276740794,0.024223390853860025,0.43170600873406273
ATG5,0.8879377487132591,0.8552975248628684,0.4118022951952329
ATIC,0.09371432206377789,0.5165990636997706,0.6152576526157045
ATL1,0.002397851341274923,0.2713908831709429,0.5332076576713943
ATL2,0.11963629843000376,0.08507210196228657,0.005168064062777174
ATOX1,0.14347352267420166,0.7495914687440605,0.05909267551539075
ATP13A2,0.0002482232410144448,0.0074071443599020405,0.0873893897426193
ATP1A1,0.006566489702052149,0.4648594796063612,0.02572664903459501
ATP1A2,0.06271871070067542,0.42564991156988086,0.019237977618268443
ATP1A3,7.558926311825121e-07,0.2881911691389681,0.5821158089286145
ATP1B1,0.2123152001155457,0.12101012196155299,0.26322823206636947
ATP1B2,0.07714604967604863,0.3355507269453047,0.0027554054439567696
ATP1B3,0.12529643613373348,0.5672907903985791,0.37176078342247204
ATP2B1,4.746019004181285e-05,0.002527554879412618,0.7249570067414275
ATP2B4,9.372207242287209e-10,1.048807648411227e-07,0.013526032357361226
ATP2C1,0.5656371344297169,0.045217389313101264,0.40618890974267585
ATP5F1A,0.017610619598008435,0.005385562555653966,0.056472394600399656
ATP5F1B,0.0004825304615868596,4.305437218762588e-05,0.4615875104867081
ATP5F1C,0.32934032893095516,0.07205828359279562,0.27669460889962477
ATP5F1D,0.006749284356928842,0.9261332476862709,0.1340844790686524
ATP5F1E,0.002274198769786921,0.023338100041152766,0.0041829761685539925
ATP5IF1,0.18134479356380576,0.027194834640552456,0.28511337563756595
ATP5MC1,0.20925813592387169,0.00596386627652807,0.2875871282340561
ATP5MC2,0.04877121205473605,0.13488745799177404,0.0002329411109217576
ATP5MC3,0.2737749433073948,0.0025372563063573226,0.36410173875751695
ATP5MG,0.0008823594710625764,0.06495933032410361,0.015789263328500964
ATP5MPL,0.1848177094712473,0.019942556916077537,0.030290630656686475
ATP5PB,0.40810151186421373,0.2988795685561433,0.04664917986479197
ATP5PD,0.1639109344749427,0.04998471431973286,0.35182464963690796
ATP6AP1,0.00726268994282905,0.030174552874442005,0.05567544744805417
ATP6AP2,0.004466933956625381,0.08275867207244154,0.06684151339403978
ATP6V0A1,9.896763625621865e-05,0.0016081267268291091,0.09723220539730015
ATP6V0D1,4.260764612670008e-06,0.09417795310366679,0.4208830627808767
ATP6V0E1,0.15882577071490375,0.3994882425647575,0.18884879842470495
ATP6V1A,0.0003207397961483839,0.00219936698445301,0.1273387481602876
ATP6V1B2,9.95087822035889e-06,0.0018655205922506436,0.15105673141744566
ATP6V1C1,0.022521657721414547,0.004994774975510561,0.2928473615737694
ATP6V1D,0.2743682705311167,0.20239172249329662,0.09383365324859994
ATP6V1FNB,0.44183760813454087,0.16030259517222803,0.03739593328967167
ATP6V1G1,0.045674388557386036,0.2565887239754189,0.17021778427868312
ATP6V1H,0.011443475046185451,0.3105323523092453,0.030677384055938173
ATP8A1,4.3743053686952664e-06,0.003571991572617642,0.09794455248144775
ATP8B2,0.615841989122482,0.5569107380663229,0.02661785059873291
ATP9B,0.2763115394670701,0.35704026051021964,0.1726613482363818
ATPAF2,0.10514922841082301,0.9366386209544549,0.28276403274455536
ATRX,0.0061895738049670525,0.6981777320405151,0.34065581174872034
ATXN10,0.00014095067541759673,0.06259902707435319,0.6655451153140604
ATXN2,0.006968881724231245,0.023462150015450278,0.1814243527829666
ATXN2L,0.09619214858299537,0.21318028515081663,0.08107873783852408
ATXN7L3,0.14559841146985847,0.5948890214625833,0.38488509433644563
AUH,0.159099281356824,0.16020802341683846,5.553758679471258e-05
AURKAIP1,0.023029244284173956,0.353359805782365,0.9970915768843921
AVL9,0.03507100590820807,0.650506126252777,0.06807824613152642
AVPI1,0.4507405594967506,0.09610953832094121,0.3679019133146703
AXL,0.11218513914536113,0.42454059202508077,0.42021409952503475
AZI2,0.6848471489834059,0.013151896082741856,0.4122301526956177
AZIN1,0.04675814431977244,0.6447112414164458,0.0768948673877571
AZIN2,0.25331132029922615,0.4120190854500051,0.31950646526167803
B2M,0.0720681245903567,0.23893858434703039,0.1766464244793516
B3GAT1,0.04700519227598148,0.0035932749030195064,0.44444106253206084
B3GNT4,0.06018542009153203,0.0361869531729667,0.2195078655481704
B4GALNT1,0.03690329524270782,0.08552654690909436,0.5496444137049248
B4GALNT4,7.457710806636742e-07,0.7820671328255602,0.017501331325009587
B4GALT2,0.006027443309334303,0.0020830428364223006,1.4126725989216075e-08
B4GALT3,0.151138562151742,0.2516401878980241,0.46619095829631485
B4GALT5,0.09171577656324562,0.31239046921471414,0.6895977180367898
B4GAT1,9.769153127084562e-09,0.0075330608598583974,0.1375249690170556
B9D1,0.145948575247223,0.22471984530262912,0.003761988026798764
B9D2,0.8770948382282676,0.014485112390660498,0.010064855340922656
BAALC,0.00030737341541476015,0.006410839479834528,0.18148368275524618
BABAM1,0.23452267675268987,0.1491804498854604,0.44507545319111363
