,sum_sq,df,F,PR(>F),p_val_adj
ZFAND3,0.21252118442993106,12.0,11.008052987906941,8.999911501197121e-12,3.046734746434673e-10
ZFAND5,0.1691151695164851,12.0,3.793816887695504,0.00020241480697384657,0.0008787532025531256
ZFC3H1,0.007101270252895896,12.0,0.47153899023246965,0.924600912543913,0.9461797291291787
ZFP1,0.030897919248977158,12.0,2.097679743988683,0.02837612713384479,0.0575142810144052
ZFP14,0.004469994387976742,12.0,0.6314662060647799,0.8081503252565538,0.8552405694704457
ZFP28,0.03358971089619197,12.0,2.4966810764128584,0.00892326978914193,0.021719658529849032
ZFP30,0.020342662155000062,12.0,0.7022814199860052,0.7438016930108978,0.8021698277400265
ZFP36,0.06751686552005096,12.0,0.5084879761625057,0.902240023568879,0.9292870399353734
ZFP36L1,0.25066574106565953,12.0,0.837917650818527,0.6117327077614363,0.6890317765219945
ZFP36L2,0.4310448026018626,12.0,7.973561536498361,4.66583765095953e-09,7.897616376844735e-08
ZFP37,0.026168927685807614,12.0,1.7435180751994348,0.0764913779229314,0.13021493952936813
ZFP62,0.02697248678376512,12.0,2.0234706179126163,0.03505927170934027,0.06846782055134787
ZFP64,0.02846020839961993,12.0,1.529495649273434,0.13515221314654066,0.2068275849515284
ZFP82,0.0097071926842339,12.0,0.5241612739380667,0.891849074652658,0.9205476455264705
ZFP90,0.04157720234726542,12.0,1.4313181012839546,0.17354439148983358,0.25304778413909546
ZFPL1,0.09309612169265655,12.0,3.747493449449323,0.00023119715139386968,0.000978787756337817
ZFPM1,0.017776662644475454,12.0,0.6418176601339801,0.7991018372857895,0.8475155169002015
ZFPM2,0.18997252497612188,12.0,23.490439451349527,1.3119373362304586e-19,3.896877094196794e-17
ZFR,0.045138023013526936,12.0,1.176397712470233,0.317591481894044,0.4101518043871469
ZFR2,0.012390330197296028,12.0,0.7140921708390962,0.7326061265118058,0.7924159770845423
ZFX,0.025169747688611282,12.0,1.3760147689899902,0.19904093871747244,0.2830094137909954
ZFYVE1,0.018192553860716987,12.0,1.3434529820685743,0.21546808360595146,0.30152433341088164
ZFYVE16,0.01982148020450955,12.0,1.2570080668598391,0.264482150514635,0.3544907775747829
ZFYVE19,0.0029955403870171892,12.0,0.19357221349265877,0.9983411876573991,0.9987097258668365
ZFYVE21,0.05560377888607405,12.0,2.290007016146673,0.01630070994697367,0.036202830967615424
ZFYVE27,0.020058673862049556,12.0,0.5242902794075387,0.8917613890212346,0.9205476455264705
ZFYVE28,0.014022466181466397,12.0,1.3885392226726105,0.19300648038326293,0.27587762672603
ZFYVE9,0.03139882661006689,12.0,1.8430507268616239,0.058182261545645646,0.10394688869078483
ZGLP1,0.009703228025537828,12.0,0.939726484240298,0.5136608276055172,0.6004556176960267
ZGPAT,0.022052701006367262,12.0,1.9157643826221644,0.04750806676432997,0.08754338178225943
ZHX1,0.022561497139884562,12.0,0.6499843012846042,0.791866157755685,0.8415717223353822
ZHX3,0.05363653828978949,12.0,3.1069827210265877,0.0014868119506798083,0.004825718872703446
ZIC2,0.31686160510533684,12.0,4.222743922378848,5.989034219250207e-05,0.00030860115887440347
ZKSCAN1,0.03853374649343909,12.0,2.415742105283026,0.011305094969916767,0.026535206481601462
ZKSCAN2,0.020868140543344113,12.0,2.0251760593609798,0.03488991378604725,0.068209411070472
ZKSCAN5,0.00944839096958576,12.0,0.5558786720225338,0.8692722046313955,0.9044359842085752
ZKSCAN8,0.017330998295699857,12.0,2.299179909666142,0.015872523235753933,0.03536273746789795
ZMAT1,0.027028624769964264,12.0,1.7960499571660649,0.06624578771466427,0.11565807033132824
ZMAT2,0.16817486758823522,12.0,4.609347428603161,2.0435217057030505e-05,0.00012100802486246745
ZMAT3,0.10101739105923561,12.0,2.8682667985250245,0.0029969183927120086,0.00868333057271623
ZMAT4,0.08899341265407801,12.0,5.835639246635972,7.86620599981568e-07,6.991508189797566e-06
ZMAT5,0.010565941331212688,12.0,0.680120370467256,0.7645000176958733,0.8199785862485266
ZMIZ1,0.12728165575795933,12.0,4.534383131823751,2.5128662605727072e-05,0.00014479644885703058
ZMIZ2,0.07337493416662112,12.0,3.016379076328915,0.0019395148008241952,0.006082783476154356
ZMPSTE24,0.09491548588919418,12.0,1.950811142654849,0.04305463730084401,0.08075923818826067
ZMYM2,0.022018826493867116,12.0,0.9414466908727274,0.512051683381233,0.5989397384663588
ZMYM3,0.02847412964439469,12.0,0.8959899214361354,0.5551986589626132,0.6395472714458037
ZMYM4,0.1446606949849025,12.0,3.1948813352407885,0.0011493382266181422,0.003858223255814748
ZMYM6,0.026515604963152785,12.0,1.4254001422186746,0.17613296523471164,0.25605183831405504
ZMYND10,0.015628439451684045,12.0,1.241031215524469,0.2744313611015445,0.3652209817926032
ZMYND11,0.13470897239020713,12.0,3.372707016273502,0.0006838663507447474,0.002482081733408606
ZMYND19,0.02132157992567331,12.0,0.6550905743958947,0.7873006354345226,0.83837912005101
ZMYND8,0.20093623205050662,12.0,4.62151421062061,1.9762475015014232e-05,0.0001174018515730652
ZNF106,0.020934302774589453,12.0,0.5703092628144814,0.8583537760983884,0.8961135567249388
ZNF121,0.06675108803659503,12.0,4.567907257924834,2.2907052662960475e-05,0.00013392262915589844
ZNF131,0.02616523386856051,12.0,1.2554749763325541,0.26542458134723584,0.355488269764596
ZNF133,0.024978377149759794,12.0,1.7403943144399667,0.07714484572320081,0.13107381443763902
ZNF134,0.0395340804911212,12.0,2.307960174909303,0.015473005884306364,0.034623435767361606
ZNF135,0.018842866371975648,12.0,1.1331208882241774,0.3491085989435466,0.44241465568560623
ZNF136,0.017544384966748847,12.0,1.8845881040175392,0.05183495495440932,0.09425281698661157
ZNF140,0.051667570305516386,12.0,4.9364789170622485,8.374377810673136e-06,5.5595725220388055e-05
ZNF142,0.05518418149129477,12.0,2.4948560989916233,0.008971061039670002,0.02181868200033845
ZNF143,0.012435268522209648,12.0,1.4197370834709402,0.17864081802850026,0.25896168961058413
ZNF146,0.09623770006648201,12.0,6.524521387744314,1.399786287461028e-07,1.5912632265359437e-06
ZNF148,0.027668943887898804,12.0,1.48839695387587,0.1502116366455346,0.22537864595601806
ZNF154,0.006435467362292606,12.0,0.3921654946837103,0.961941092076978,0.9731436580800717
ZNF16,0.004898844967150621,12.0,0.40171817733385734,0.9582310295090165,0.9709905711146719
ZNF160,0.0438991394649346,12.0,2.460438099891927,0.009921308455798939,0.023738947453636992
ZNF174,0.008941136424622796,12.0,1.3613947089710374,0.20628337074788158,0.2914171951283359
ZNF175,0.003610126768745845,12.0,0.4184377284687393,0.9512230887311885,0.966642202220865
ZNF18,0.01876935252720083,12.0,1.2512146756004001,0.2680571492568012,0.3580316551141029
ZNF180,0.01359511036820475,12.0,1.25401254348846,0.26632599863949735,0.35616661980487696
ZNF181,0.02356227460351056,12.0,1.6261203603029444,0.10490641547858277,0.16805467531781318
ZNF184,0.20838325763668403,12.0,6.141990196316551,3.617696427237673e-07,3.6051676084420445e-06
ZNF189,0.044795950834426695,12.0,3.034764113596241,0.001837620778891446,0.005798770435926126
ZNF195,0.02855786204829859,12.0,1.0516085776425215,0.41402565003923075,0.506255994901179
ZNF197,0.01552852277969298,12.0,1.3865062076469374,0.19397546191063664,0.27709060708550143
ZNF205,0.013041354979474146,12.0,0.9494746686116327,0.5045694857180139,0.5923095135761692
ZNF207,0.021381847586266774,12.0,0.33243815315882225,0.9804588745430141,0.9866738051138878
ZNF212,0.00934035064106982,12.0,0.5224422852072926,0.893014152867281,0.9215369628602403
ZNF213,0.009746792551516534,12.0,0.8051747674921269,0.6439439092183858,0.7172415043042092
ZNF219,0.0076649711213546395,12.0,0.4888861303361603,0.9144842377148186,0.9378072013451442
ZNF22,0.07177855233296374,12.0,5.140394332376268,4.84319291467595e-06,3.4570635936694684e-05
ZNF224,0.034026918601160694,12.0,1.235906338291019,0.2776828317293363,0.3689615461130921
ZNF226,0.006775496908640614,12.0,0.29698689918891324,0.9879200630936138,0.9921093115263248
